Timestamp,Class,Confidence Score,FPS,Error,Delta Error
13,track,"tensor([0.9489], device='cuda:0')",3.59,4.91,0.71
13,track,"tensor([0.9495], device='cuda:0')",3.13,6.09,1.18
13,track,"tensor([0.9486], device='cuda:0')",2.87,5.57,-0.52
14,track,"tensor([0.9483], device='cuda:0')",3.26,4.99,-0.58
14,track,"tensor([0.9502], device='cuda:0')",2.82,4.95,-0.04
14,track,"tensor([0.9495], device='cuda:0')",3.15,4.73,-0.22
15,track,"tensor([0.9505], device='cuda:0')",3.38,6.01,1.28
15,track,"tensor([0.9552], device='cuda:0')",3.34,6.32,0.31
15,track,"tensor([0.9474], device='cuda:0')",4.49,6.87,0.55
15,track,"tensor([0.9495], device='cuda:0')",2.88,7.48,0.61
16,track,"tensor([0.9499], device='cuda:0')",3.42,8.4,0.92
16,track,"tensor([0.9504], device='cuda:0')",2.91,9.2,0.8
16,track,"tensor([0.9463], device='cuda:0')",3.18,9.81,0.61
17,track,"tensor([0.9469], device='cuda:0')",2.99,10.01,0.2
17,track,"tensor([0.9453], device='cuda:0')",3.26,10.69,0.68
17,track,"tensor([0.9398], device='cuda:0')",3.55,12.03,1.34
18,track,"tensor([0.9454], device='cuda:0')",3.67,13.02,0.99
18,track,"tensor([0.9511], device='cuda:0')",3.54,13.71,0.69
18,track,"tensor([0.9457], device='cuda:0')",2.71,13.91,0.2
19,track,"tensor([0.9532], device='cuda:0')",3.38,14.17,0.26
19,track,"tensor([0.9486], device='cuda:0')",2.66,14.43,0.26
19,track,"tensor([0.9614], device='cuda:0')",3.31,11.51,-2.92
19,track,"tensor([0.9603], device='cuda:0')",3.43,8.0,-3.51
20,track,"tensor([0.9491], device='cuda:0')",3.08,4.78,-3.22
20,track,"tensor([0.9494], device='cuda:0')",3.97,2.47,-2.31
20,track,"tensor([0.9464], device='cuda:0')",2.70,-0.32,-2.79
21,track,"tensor([0.9502], device='cuda:0')",2.95,-3.11,-2.79
21,track,"tensor([0.9499], device='cuda:0')",3.51,-6.16,-3.05
21,track,"tensor([0.9502], device='cuda:0')",4.26,-5.22,0.94
22,track,"tensor([0.9492], device='cuda:0')",3.36,-6.18,-0.96
22,track,"tensor([0.9475], device='cuda:0')",3.38,-7.48,-1.3
22,track,"tensor([0.9398], device='cuda:0')",3.38,-9.0,-1.52
22,track,"tensor([0.9484], device='cuda:0')",3.01,-10.03,-1.03
23,track,"tensor([0.9528], device='cuda:0')",4.72,-11.8,-1.77
23,track,"tensor([0.9556], device='cuda:0')",5.37,-13.38,-1.58
23,track,"tensor([0.9542], device='cuda:0')",3.65,-13.87,-0.49
23,track,"tensor([0.9529], device='cuda:0')",3.07,-14.95,-1.08
24,track,"tensor([0.9528], device='cuda:0')",3.39,-15.18,-0.23
24,track,"tensor([0.9491], device='cuda:0')",2.93,-15.44,-0.26
24,track,"tensor([0.9503], device='cuda:0')",3.29,-12.93,2.51
25,track,"tensor([0.9562], device='cuda:0')",3.22,-9.04,3.89
25,track,"tensor([0.9543], device='cuda:0')",3.74,-5.86,3.18
25,track,"tensor([0.9529], device='cuda:0')",3.28,-2.14,3.72
26,track,"tensor([0.9518], device='cuda:0')",3.62,1.84,3.98
26,track,"tensor([0.9428], device='cuda:0')",3.08,3.93,2.09
26,track,"tensor([0.9440], device='cuda:0')",3.84,7.1,3.17
26,track,"tensor([0.9436], device='cuda:0')",3.32,6.8,-0.3
27,track,"tensor([0.9478], device='cuda:0')",3.07,7.63,0.83
27,track,"tensor([0.9501], device='cuda:0')",3.25,7.89,0.26
27,track,"tensor([0.9422], device='cuda:0')",2.91,8.88,0.99
28,track,"tensor([0.9360], device='cuda:0')",2.87,9.24,0.36
28,track,"tensor([0.9271], device='cuda:0')",3.64,10.09,0.85
28,track,"tensor([0.9370], device='cuda:0')",3.17,10.94,0.85
29,track,"tensor([0.9357], device='cuda:0')",2.83,11.67,0.73
29,track,"tensor([0.9369], device='cuda:0')",3.19,12.88,1.21
29,track,"tensor([0.5461], device='cuda:0')",3.48,0,0
30,track,"tensor([0.8272], device='cuda:0')",4.23,14.46,1.58
30,track,"tensor([0.6934], device='cuda:0')",2.75,15.7,1.24
30,end-track,"tensor([0.6815], device='cuda:0')",3.27,0,0
31,end-track,"tensor([0.7077], device='cuda:0')",3.77,0,0
31,end-track,"tensor([0.6678], device='cuda:0')",2.94,0,0
31,end-track,"tensor([0.6847], device='cuda:0')",3.61,0,0
31,end-track,"tensor([0.6866], device='cuda:0')",3.06,0,0
32,end-track,"tensor([0.6832], device='cuda:0')",3.31,0,0
32,end-track,"tensor([0.7129], device='cuda:0')",2.99,0,0
32,end-track,"tensor([0.6938], device='cuda:0')",4.45,0,0
33,track,"tensor([0.6403], device='cuda:0')",3.22,0,0
33,end-track,"tensor([0.6926], device='cuda:0')",3.35,0,0
33,end-track,"tensor([0.7569], device='cuda:0')",3.74,0,0
33,track,"tensor([0.7728], device='cuda:0')",3.37,0,0
34,end-track,"tensor([0.5733], device='cuda:0')",3.61,0,0
34,end-track,"tensor([0.6113], device='cuda:0')",3.44,0,0
34,end-track,"tensor([0.6633], device='cuda:0')",3.32,0,0
35,end-track,"tensor([0.8178], device='cuda:0')",3.82,0,0
35,end-track,"tensor([0.7919], device='cuda:0')",3.29,0,0
35,end-track,"tensor([0.8021], device='cuda:0')",3.21,0,0
36,end-track,"tensor([0.7982], device='cuda:0')",3.59,0,0
36,end-track,"tensor([0.8039], device='cuda:0')",3.48,0,0
36,end-track,"tensor([0.8125], device='cuda:0')",3.78,0,0
36,end-track,"tensor([0.8333], device='cuda:0')",5.24,0,0
37,end-track,"tensor([0.8434], device='cuda:0')",3.12,0,0
37,end-track,"tensor([0.8700], device='cuda:0')",4.14,0,0
37,end-track,"tensor([0.8860], device='cuda:0')",4.46,0,0
37,end-track,"tensor([0.8795], device='cuda:0')",2.51,0,0
38,end-track,"tensor([0.8668], device='cuda:0')",4.21,0,0
